Date,Country,Status,AQI Value
2023-04-06,Guadeloupe,Good,18
2023-04-06,Guam,Good,2
2023-04-06,Guatemala,Unhealthy for Sensitive Groups,131
2023-04-06,Honduras,Unhealthy for Sensitive Groups,141
2023-04-06,Hong Kong,Moderate,62
2023-04-06,Iceland,Good,13
2023-04-06,India,Unhealthy,174
2023-04-06,Indonesia,Moderate,80
2023-04-06,Iran,Unhealthy for Sensitive Groups,118
2023-04-06,Iraq,Unhealthy for Sensitive Groups,112
2023-04-06,Ireland,Good,27
2023-04-06,Israel,Moderate,77
2023-04-06,Italy,Moderate,69
2023-04-06,Ivory Coast,Good,50
2023-04-06,Japan,Moderate,80
2023-04-06,Jersey,Moderate,53
2023-04-06,Jordan,Good,22
2023-04-06,Kazakhstan,Moderate,84
2023-04-06,Kenya,Good,43
2023-04-06,Kosovo,Moderate,59
2023-04-06,Kuwait,Moderate,95
2023-04-06,Kyrgyzstan,Moderate,61
2023-04-06,Laos,Very Unhealthy,280
2023-04-06,Latvia,Good,33
2023-04-06,Lebanon,Moderate,53
2023-04-06,Liberia,Moderate,93
2023-04-06,Liechtenstein,Good,17
2023-04-06,Lithuania,Good,21
2023-04-06,Luxembourg,Moderate,56
2023-04-06,Macao,Moderate,63
2023-04-06,Macedonia,Moderate,65
2023-04-06,Madagascar,Moderate,75
2023-04-06,Malaysia,Moderate,67
2023-04-06,Malta,Good,32
2023-04-06,Martinique,Good,44
2023-04-06,Mexico,Unhealthy for Sensitive Groups,130
2023-04-06,Moldova,Good,20
2023-04-06,Monaco,Good,33
2023-04-06,Mongolia,Moderate,77
2023-04-06,Montenegro,Moderate,51
2023-04-06,Myanmar,Hazardous,345
2023-04-06,Nepal,Moderate,91
2023-04-06,Netherlands,Moderate,85
2023-04-06,New Caledonia,Good,23
2023-04-06,New Zealand,Good,27
2023-04-06,Nigeria,Moderate,99
2023-04-06,Norway,Good,21
2023-04-06,Pakistan,Moderate,66
2023-04-06,Palestinian Territory,Moderate,52
2023-04-06,Peru,Good,47
2023-04-06,Philippines,Good,33
2023-04-06,Poland,Unhealthy for Sensitive Groups,132
2023-04-06,Portugal,Good,33
2023-04-06,Puerto Rico,Good,3
2023-04-06,Qatar,Moderate,66
2023-04-06,Reunion,Good,14
2023-04-06,Romania,Moderate,89
2023-04-06,Russia,Moderate,70
2023-04-06,San Marino,Good,38
2023-04-06,Saudi Arabia,Moderate,81
2023-04-06,Senegal,Moderate,51
2023-04-06,Serbia,Unhealthy for Sensitive Groups,143
2023-04-06,Singapore,Good,46
2023-04-06,Slovakia,Moderate,68
2023-04-06,Slovenia,Moderate,68
2023-04-06,South Africa,Moderate,84
2023-04-06,South Korea,Very Unhealthy,271
2023-04-06,Spain,Moderate,71
2023-04-06,Sri Lanka,Good,44
2023-04-06,Sudan,Unhealthy for Sensitive Groups,149
2023-04-06,Sweden,Good,48
2023-04-06,Switzerland,Good,23
2023-04-06,Taiwan,Moderate,82
2023-04-06,Tajikistan,Good,48
2023-04-06,Thailand,Hazardous,437
2023-04-06,Togo,Moderate,76
2023-04-06,Trinidad and Tobago,Moderate,74
2023-04-06,Turkey,Unhealthy for Sensitive Groups,113
2023-04-06,Turkmenistan,Moderate,70
2023-04-06,Uganda,Moderate,98
2023-04-06,Ukraine,Moderate,71
2023-04-06,United Arab Emirates,Moderate,68
2023-04-06,United Kingdom of Great Britain and Northern Ireland,Moderate,64
2023-04-06,United States of America,Moderate,86
2023-04-06,Uzbekistan,Good,25
2023-04-06,Vatican,Good,38
2023-04-06,Venezuela,Good,40
2023-04-06,Vietnam,Unhealthy,155
2023-04-06,Zambia,Moderate,70
2023-04-13,Albania,Good,16
2023-04-13,Algeria,Moderate,55
2023-04-13,Andorra,Good,16
2023-04-13,Angola,Moderate,59
2023-04-13,Argentina,Good,15
2023-04-13,Armenia,Good,21
2023-04-13,Australia,Good,46
2023-04-13,Austria,Good,18
2023-04-13,Azerbaijan,Moderate,57
2023-04-13,Bahrain,Moderate,87
2023-04-13,Bangladesh,Unhealthy,164
2023-04-13,Belarus,Moderate,56
2023-04-13,Belgium,Good,28
2023-04-13,Belize,Good,38
2023-04-13,Bermuda,Good,9
2023-04-13,Bolivia,Good,8
2023-04-13,Bosnia and Herzegovina,Moderate,63
2023-04-13,Brazil,Moderate,58
2023-04-13,Brunei,Good,17
2023-04-13,Bulgaria,Good,24
2023-04-13,Burkina Faso,Hazardous,326
2023-04-13,Cambodia,Unhealthy for Sensitive Groups,115
2023-04-13,Canada,Moderate,63
2023-04-13,Cape Verde,Moderate,73
2023-04-13,Cayman Islands,Good,29
2023-04-13,Central African Republic,Unhealthy for Sensitive Groups,142
2023-04-13,Chad,Hazardous,420
2023-04-13,Chile,Moderate,98
2023-04-13,China,Hazardous,560
2023-04-13,Colombia,Moderate,80
2023-04-13,Costa Rica,Good,25
2023-04-13,Croatia,Moderate,61
2023-04-13,Cyprus,Good,40
2023-04-13,Czech Republic,Moderate,81
2023-04-13,Denmark,Good,23
2023-04-13,Dominican Republic,Moderate,56
